SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF
87000,5,840,0,0,672
155000,6,1348,2,453,660
150000,5,1053,2,750,1008
226000,7,2157,2,487,924
244000,6,2054,2,390,992
150750,5,1327,2,624,1063
220000,8,1296,2,471,1267
180000,5,1721,2,440,1461
174000,7,1682,2,530,1304
143000,5,1214,1,318,1214
171000,7,1959,3,766,1907
230000,8,1852,3,660,1004
231500,6,1764,2,470,928
115000,4,864,0,0,864
260000,7,1734,2,660,1734
166000,5,1385,2,720,910
204000,7,1501,2,577,1490
125000,5,1728,2,504,1728
130000,6,1709,2,380,970
105000,5,875,1,180,715
222500,7,2035,2,434,884
141000,7,1080,0,0,1080
115000,5,1344,1,240,896
122000,5,969,2,440,969
372402,8,1710,3,866,1710
190000,6,1993,2,495,825
235000,6,1252,2,564,1602
125000,6,1200,1,312,1200
79000,6,1096,0,0,572
109500,5,1040,2,625,0
269500,8,1968,3,680,774
254900,7,1947,2,678,991
320000,7,2462,2,576,1392
162500,6,1232,2,516,1232
412500,9,2668,3,726,1572
220000,7,1541,2,532,1541
103200,4,882,0,0,882
152000,6,1616,1,216,1149
127500,5,1355,0,0,644
190000,5,1867,1,303,1617
325624,8,2161,3,789,1582
183500,7,1720,2,440,840
228000,8,1707,2,511,1686
128500,5,1382,2,660,720
215000,6,1656,2,528,1080
239000,7,1767,2,504,1064
163000,6,1362,2,504,1362
184000,6,1651,2,616,1606
243000,6,2158,2,576,1202
211000,6,2060,2,521,1151
172500,5,1920,2,451,1052
501837,9,2234,3,1166,2216
100000,5,968,2,480,968
177000,6,1525,2,440,756
200100,7,1802,1,216,793
120000,5,1340,1,252,0
200000,7,2082,2,484,1362
127000,5,1252,2,576,504
475000,10,3608,3,840,1107
173000,7,1217,2,497,1188
135000,5,1656,1,180,660
153337,5,1224,2,528,1086
286000,8,1593,2,682,1593
315000,8,2727,2,440,853
184000,7,1479,2,484,725
192000,7,1431,2,666,1431
130000,7,1709,2,380,970
127000,5,864,1,352,864
148500,6,1456,2,440,855
311872,7,1726,3,786,1726
235000,8,3112,2,795,1360
104000,6,2229,0,0,755
274900,8,1713,3,856,1713
140000,4,1121,2,440,1121
171500,6,1279,2,473,1196
112000,6,1310,1,398,617
149000,6,848,2,420,848
110000,5,1284,1,240,720
180500,7,1442,2,500,1424
143900,5,1696,1,349,1140
141000,4,1100,1,312,1100
277000,7,2062,2,454,1157
145000,6,1092,2,504,1092
98000,5,864,0,0,864
186000,6,1212,2,460,1212
252678,7,1852,2,644,900
156000,5,990,2,576,990
161750,6,1392,1,299,689
134450,5,1236,1,447,1070
210000,7,1436,2,484,1436
107000,4,1328,1,210,686
311500,7,1954,2,431,798
167240,7,1248,2,438,1248
204900,7,1498,2,675,1498
200000,6,2267,2,390,1010
179900,6,1552,2,434,713
97000,4,864,2,576,864
386250,10,2392,3,968,2392
112000,5,1302,1,280,630
290000,7,2520,3,721,1203
106000,6,987,1,280,483
125000,5,912,1,336,912
192500,7,1555,2,430,1373
148000,6,1194,1,312,1194
403000,8,2794,3,810,1462
94500,6,987,1,288,483
128200,5,894,1,308,894
216500,6,1960,2,440,860
89500,6,987,1,264,483
185500,7,1414,2,494,1414
194500,7,1744,2,457,996
318000,8,1694,3,818,1694
113000,6,1487,1,220,735
262500,8,1566,2,750,1566
110500,5,866,0,0,686
79000,5,1440,1,352,540
120000,6,1217,1,288,626
205000,7,2110,2,463,948
241500,7,1872,2,604,1845
137000,6,1928,1,440,1020
140000,6,1375,2,451,1367
180000,7,1668,2,500,840
277000,6,2144,2,389,1444
76500,3,1306,0,0,728
235000,8,1625,2,538,1573
173000,6,1640,2,520,798
158000,6,1302,1,309,1302
145000,5,1314,1,294,1314
230000,7,2291,2,429,975
207500,6,1728,2,673,864
220000,7,1604,2,660,1604
231500,7,1792,2,564,963
97000,5,882,1,308,0
176000,6,1382,2,884,1362
276000,8,2574,3,868,1482
151000,6,1212,2,492,506
130000,5,1316,2,484,926
73000,5,764,2,504,680
175500,6,1422,2,576,1422
185000,6,1511,2,413,802
179500,5,2192,1,240,720
120500,5,778,1,924,740
148000,6,1113,1,504,1143
266000,8,1939,3,1053,1095
241500,7,1363,2,439,1385
290000,8,2270,3,671,1152
139000,6,1632,1,338,1240
124500,5,816,1,264,816
205000,7,1548,2,672,952
201000,7,1560,2,573,1560
141000,4,864,2,400,864
415298,9,2121,3,732,2121
192000,7,2022,2,505,1160
228500,7,1982,2,575,807
185000,6,1262,2,572,1262
207500,7,1314,2,626,1314
244600,8,1468,3,898,1468
179200,6,1575,2,529,1575
164700,7,1250,2,528,625
159000,6,1734,2,440,912
88000,4,858,0,0,858
122000,5,900,1,280,882
153575,6,1396,1,384,698
233230,8,1919,2,685,1079
135900,5,1716,0,0,780
131000,5,1716,1,281,768
235000,7,2263,2,539,795
167000,6,1644,2,418,1416
142500,6,1003,2,588,1003
152000,5,1558,1,282,910
239000,7,1950,2,576,975
175000,6,1743,2,539,702
158500,6,1152,1,300,1092
157000,5,1336,1,375,1165
267000,8,2452,2,683,1028
205000,7,1541,3,843,1541
149900,5,894,2,552,894
295000,7,3493,3,870,1470
305900,8,2000,3,888,2000
225000,7,2243,3,746,700
89500,6,1406,0,0,319
82500,4,861,2,539,861
360000,9,1944,3,708,1896
165600,6,1501,2,420,697
132000,6,972,1,240,972
119900,5,1118,2,410,793
375000,7,2036,2,513,2136
178000,7,1641,2,546,728
188500,7,1432,2,432,716
260000,7,2353,2,484,845
270000,8,1959,3,1025,1088
260000,7,2646,3,656,1347
187500,7,1472,2,588,1372
342643,9,2596,3,840,1249
354000,8,2468,3,872,1136
301000,7,2730,2,576,1502
126175,3,1163,1,220,1162
242000,7,2978,2,564,710
87000,5,803,2,360,720
324000,8,1719,2,473,1719
145250,6,1383,1,292,1383
214500,6,2134,2,441,844
78000,5,1192,1,189,596
119000,5,1728,1,352,1728
139000,5,1056,1,308,1056
284000,8,1629,3,880,3206
207000,7,1358,2,484,1358
192000,6,1638,2,472,943
228950,5,1786,2,529,1499
377426,9,1922,3,676,1922
214000,7,1536,2,532,1536
202500,7,1621,2,440,1208
155000,6,1215,1,297,1215
202900,8,1908,2,431,967
82000,4,841,1,294,721
87500,3,1040,2,400,0
266000,9,1684,2,564,1684
85000,5,1112,1,336,536
140200,6,1577,1,312,972
151500,6,958,1,301,958
157500,6,1478,2,498,1478
154000,7,1626,2,474,764
437154,9,2728,3,706,1848
318061,9,1869,2,617,1869
190000,7,1453,2,445,1453
95000,5,1111,1,200,616
105900,6,720,2,484,624
140000,6,1595,1,240,940
177500,6,1200,2,521,1200
173000,6,1167,2,400,1158
134000,5,1142,2,528,1142
130000,5,1352,1,288,1062
280000,8,1924,2,592,1086
156000,6,912,2,470,888
145000,5,1505,1,240,883
198500,7,1922,2,672,0
118000,6,987,1,264,483
190000,6,1574,2,566,796
147000,5,1344,1,468,672
159000,6,1394,2,514,1394
165000,6,1431,1,296,1099
132000,5,1268,1,244,1268
162000,5,1287,2,576,1063
172400,6,1664,2,460,953
134432,4,1588,2,680,0
125000,6,752,1,264,744
123000,5,1319,1,270,608
219500,7,1928,2,434,847
61000,1,904,0,0,683
148000,5,914,2,576,870
340000,8,2466,2,610,1580
394432,9,1856,3,834,1856
179000,6,1800,2,463,982
127000,5,1691,1,308,1026
187750,7,1301,2,572,1293
213500,7,1797,2,639,939
76000,6,784,2,360,784
240000,6,1953,2,501,1580
192000,8,1269,2,430,1256
81000,5,1184,0,0,658
125000,6,1125,1,352,1041
191000,7,1479,2,577,1468
426000,10,2332,3,846,1682
119000,5,1367,1,384,861
215000,6,1961,2,560,804
106500,5,882,1,294,0
100000,4,788,0,0,788
109000,5,1034,1,240,735
129000,5,1144,1,596,1144
123000,5,894,2,600,894
169500,5,1812,1,264,864
67000,5,1077,1,338,961
241000,7,1550,2,438,1092
245500,8,1288,2,500,1260
164990,7,1310,2,400,1310
108000,5,672,1,240,672
258000,8,2263,2,420,1141
168000,6,1572,2,373,806
150000,4,1620,2,490,1281
115000,6,1639,1,240,1064
177000,6,1680,1,308,840
280000,7,2172,3,947,1063
339750,8,2078,3,836,1034
60000,5,1276,1,350,1276
145000,5,1056,2,572,1056
222000,7,1478,2,484,1470
115000,5,1028,2,360,1008
228000,7,2097,3,678,1080
181134,7,1340,2,396,1340
149500,6,1400,2,440,672
239000,6,2624,3,864,1370
126000,5,1134,1,240,756
142000,5,1056,1,304,1056
206300,7,1344,4,784,1344
215000,6,1602,2,529,1602
113000,5,988,2,520,988
315000,8,2630,3,696,1470
139000,6,1196,1,297,1196
135000,7,1389,1,240,651
275000,7,1644,2,569,1518
109008,4,907,1,352,907
195400,7,1208,2,628,1208
175000,6,1412,2,576,1392
85400,6,987,1,264,483
79900,6,1198,0,0,901
122500,5,1365,2,440,765
181000,6,1604,2,470,926
81000,4,630,0,0,630
212000,7,1661,2,550,799
116000,6,1118,2,440,648
119000,6,904,1,180,884
90350,5,694,1,352,440
110000,6,1196,2,528,684
555000,10,2402,3,672,3094
118000,4,1440,0,0,1440
162900,5,1573,2,360,1078
172500,7,1258,3,648,1258
210000,7,1908,2,493,915
127500,6,1689,2,480,1436
190000,6,1888,2,578,1517
199900,7,1886,2,431,930
119500,6,1376,1,198,780
120000,3,1183,1,308,649
110000,6,813,1,270,813
280000,7,1533,2,576,1533
204000,6,1756,2,422,872
210000,8,1590,2,676,768
188000,5,1728,2,560,1728
175500,7,1242,2,528,1242
98000,5,1344,3,513,624
256000,4,1663,2,529,1364
161000,8,1666,1,228,588
110000,5,1203,1,352,709
263435,8,1935,2,552,832
155000,7,1135,2,576,560
62383,5,864,1,360,864
188700,6,1660,1,240,715
124000,5,1040,0,0,1040
178740,7,1414,2,398,1375
167000,7,1277,2,526,1277
146500,5,1644,1,312,728
250000,8,1634,3,866,1626
187000,6,1710,2,506,832
212000,8,1502,2,528,1488
190000,7,1969,2,534,808
148000,6,1072,2,525,547
440000,8,1976,3,908,1976
251000,8,1652,2,499,1494
132500,5,970,2,624,970
208900,6,1493,2,508,1478
380000,9,2643,3,694,2153
297000,8,1718,3,826,1705
89471,4,1131,2,672,907
326000,9,1850,3,772,1833
374000,9,1792,3,874,1792
155000,7,1826,1,164,910
164000,6,1216,2,402,1216
132500,5,999,1,264,999
147000,5,1113,1,264,1113
156000,5,1073,2,515,1073
175000,5,1484,2,487,1484
160000,5,2414,2,520,954
86000,4,630,1,286,630
115000,5,1304,1,336,264
133000,6,1578,1,240,806
172785,6,1456,2,429,728
155000,5,1269,1,308,1269
91300,5,886,1,273,190
34900,4,720,0,0,720
430000,8,3228,2,546,3200
184000,7,1820,1,240,1026
130000,5,899,1,288,864
120000,5,912,1,297,912
113000,6,1218,1,264,672
226700,7,1768,2,603,866
140000,5,1214,2,461,1214
289000,7,1801,2,484,1501
147000,6,1322,2,440,855
124500,5,1960,2,400,960
215000,8,1911,2,471,777
208300,6,1218,2,676,1218
161000,7,1378,2,360,689
124500,5,1041,1,270,1041
164900,5,1363,1,288,1008
202665,7,1368,2,474,1368
129900,5,864,2,624,864
134000,6,1080,2,484,1084
96500,5,789,1,200,768
402861,10,2020,3,900,2006
158000,6,2119,2,583,689
265000,7,2344,3,889,1264
211000,6,1796,2,546,794
234000,7,2080,1,282,1276
106250,4,1294,0,0,0
150000,6,1244,1,336,1244
159000,6,1664,2,420,1004
184750,10,4676,3,884,3138
315750,7,2398,3,834,1379
176000,7,1266,2,453,1257
132000,5,928,1,252,928
446261,9,2713,3,858,1452
86000,4,605,0,0,528
200624,6,2515,2,484,2035
175000,6,1509,2,600,1461
128000,6,1362,2,502,611
107500,5,827,1,392,0
39300,1,334,0,0,0
178000,8,1414,2,403,707
107500,5,1347,0,0,1117
188000,7,1724,2,527,880
111250,4,864,2,576,864
158000,5,1159,1,336,1051
272000,8,1601,2,670,1581
315000,9,1838,3,765,1838
248000,8,2285,3,648,969
213250,7,1680,2,583,1650
133000,7,767,1,367,723
179665,7,1496,2,426,654
229000,7,2183,3,786,1204
210000,6,1635,2,440,1065
129500,5,768,2,624,768
125000,5,825,2,720,825
263000,7,2094,2,615,912
140000,6,1069,2,440,1069
112500,5,928,1,288,928
255500,8,1717,3,908,1709
108000,4,1126,2,520,0
284000,7,2046,3,871,998
113000,5,1048,1,280,993
141000,5,1092,1,299,1092
108000,4,1336,1,570,637
175000,7,1446,2,406,729
234000,7,1557,2,420,1374
121500,5,1392,2,528,1392
170000,5,1389,2,418,1389
108000,5,996,0,0,996
185000,6,1674,2,396,1163
268000,7,2295,2,590,1095
128000,6,1647,1,216,806
325000,9,2504,3,656,1122
214000,7,1535,2,532,1517
316600,8,2132,2,612,1496
135960,5,943,2,600,943
142600,5,1728,2,576,1728
120000,6,864,1,288,864
224500,7,1692,2,650,846
170000,7,1430,2,400,384
139000,5,1109,1,288,372
118500,5,1216,1,336,832
145000,7,1477,1,216,861
164500,5,1320,2,564,1164
146000,7,1392,2,540,689
131500,5,1795,1,352,1050
181900,6,1429,2,572,1144
253293,8,2042,3,1390,2042
118500,6,816,0,0,816
325000,10,2775,2,880,1237
133000,4,1573,1,240,884
369900,8,2028,3,880,1868
130000,6,838,1,275,816
137000,5,860,2,528,840
143000,5,1473,1,452,1437
79500,5,935,1,308,742
185900,7,1582,2,520,770
451950,10,2296,3,842,1722
138000,5,816,2,816,816
140000,6,848,2,420,848
110000,5,924,1,280,924
319000,8,1826,3,758,1814
114504,6,1368,1,216,684
194201,7,1402,3,648,1258
217500,5,1647,2,621,1430
151000,6,1556,2,452,716
275000,8,1904,2,736,1058
141000,6,1375,1,544,780
220000,8,1915,2,506,908
151000,7,1200,2,480,600
221000,7,1494,2,530,1494
205000,7,1986,2,486,768
152000,5,1040,2,576,1040
225000,5,2008,1,230,896
359100,8,3194,2,380,965
118500,4,1029,1,261,1029
313000,9,2153,3,736,1440
148000,6,1032,2,564,1032
261500,8,1872,2,531,1299
147000,5,1120,0,0,1120
75500,4,630,0,0,630
137500,6,1054,2,480,936
183200,6,1509,2,393,783
105500,6,832,2,528,832
314813,9,1828,3,774,1822
305000,8,2262,3,749,1482
67000,3,864,0,0,864
240000,6,2614,2,624,1522
135000,5,980,2,484,980
168500,6,1512,2,440,756
165150,6,1790,2,484,732
160000,6,1116,2,440,1116
139900,5,1422,1,286,978
153000,6,1520,1,364,1156
135000,5,2080,2,504,1040
168500,6,1350,2,520,1248
124000,5,1750,1,240,636
209500,8,1554,2,627,1554
82500,7,1411,2,544,1386
139400,5,1056,1,260,1056
144000,6,1056,2,576,1056
200000,6,3395,0,0,1440
60000,2,800,0,0,264
93000,5,1387,1,256,811
85000,5,796,0,0,796
264561,8,1567,3,648,1520
274000,8,1518,2,588,1518
226000,7,1929,2,650,1057
345000,8,2704,2,538,1952
152000,5,1620,2,462,780
370878,9,1766,3,478,1766
143250,6,981,2,576,981
98300,5,1048,2,420,0
155000,6,1094,2,495,1094
155000,6,1839,2,442,756
84500,4,630,0,0,630
205950,7,1665,2,562,813
108000,4,1510,1,296,755
191000,7,1716,2,512,880
135000,6,1469,1,216,756
350000,8,2113,3,839,2109
88000,6,1092,1,264,525
145500,5,1053,1,312,1053
149000,7,1502,1,270,776
97500,6,1458,1,330,912
167000,5,1486,2,480,1486
197900,7,1935,2,550,793
402000,8,2448,3,711,1629
110000,6,1392,2,576,1392
137500,4,1181,2,588,1138
423000,8,2097,3,1134,2077
230500,8,1936,2,504,1406
129000,6,2380,2,596,1021
193500,6,1679,2,575,1408
168000,5,1437,2,576,1188
137500,4,1180,1,252,700
173500,6,1476,2,540,738
103600,6,1369,1,300,672
165000,6,1208,2,546,1208
257500,6,1839,2,416,1477
140000,6,1136,1,384,1136
148500,6,1441,2,440,855
87000,4,1774,3,779,1095
109500,5,792,1,240,768
372500,8,2046,3,834,2046
128500,5,988,2,572,988
143000,6,923,1,264,923
159434,5,1520,1,281,793
173000,6,1291,2,431,1291
285000,9,1668,3,702,1626
221000,7,1839,2,486,1195
207500,7,2090,2,577,1190
227875,7,1761,2,578,874
148800,7,1102,2,480,551
392000,8,1419,2,567,1419
194700,6,1362,2,460,1362
141000,6,848,2,420,848
755000,10,4316,3,832,2444
335000,7,2519,2,628,1210
108480,5,1073,1,326,1073
141500,5,1539,2,576,927
176000,6,1137,2,551,1112
89000,5,616,1,205,616
123500,5,1148,1,308,980
138500,5,894,1,336,894
196000,7,1391,2,530,1391
312500,8,1800,3,765,1800
140000,7,1164,2,528,1164
361919,8,2576,3,666,1234
140000,5,1812,2,672,360
213000,7,1484,2,606,1473
55000,4,1092,0,0,0
302000,7,1824,2,739,1643
254000,8,1324,2,550,1324
179540,7,1456,2,400,728
109900,5,904,1,408,876
52000,3,729,0,0,270
102776,4,1178,1,384,859
189000,8,1228,2,472,1228
129000,4,960,2,576,960
130500,6,1479,2,475,725
165000,6,1350,2,478,1064
159500,7,2554,2,704,718
157000,5,1178,2,439,1176
341000,7,2418,3,983,1311
128500,5,971,1,300,971
275000,8,1742,2,564,1742
143000,6,848,2,420,848
124500,4,864,2,463,864
135000,4,1470,1,548,941
320000,9,1698,3,768,1698
120500,4,864,2,660,864
222000,6,1680,2,540,880
194500,7,1232,2,632,1232
110000,5,1776,3,888,1584
103000,4,1208,2,539,780
236500,8,1616,2,608,1595
187500,7,1146,2,438,868
222500,7,2031,2,541,1153
131400,5,1144,1,264,864
108000,5,948,1,300,948
163000,7,1768,2,320,880
93500,3,1040,2,400,0
239900,8,1801,3,800,893
179000,5,1200,0,0,1200
190000,7,1728,2,572,864
132000,5,1432,2,360,264
142000,6,912,1,288,912
179000,7,1349,2,539,1349
175000,5,1464,2,480,520
180000,8,1337,2,462,1337
299800,8,2715,2,831,1142
236000,7,2256,2,554,952
265979,7,2640,4,864,1240
260400,7,1720,2,527,1720
98000,4,1529,1,240,0
96500,4,1140,0,0,576
162000,7,1320,2,400,660
217000,6,1494,2,576,1479
275500,8,2098,3,878,1030
156000,6,1026,2,440,1026
172500,6,1471,2,440,729
212000,8,1768,2,578,866
158900,6,1386,2,440,672
179400,7,1501,2,440,744
290000,8,2531,3,752,1318
127500,6,864,1,300,864
100000,5,1301,2,440,1145
215200,7,1547,2,614,756
337000,8,2365,3,856,1252
270000,8,1494,2,481,1494
264132,9,1506,2,592,1498
196500,7,1714,2,496,980
160000,6,1750,1,423,983
216837,7,1836,2,484,1860
538000,8,3279,3,841,1650
134900,5,858,2,576,858
102000,4,1220,2,396,836
107000,6,1117,2,672,1029
114500,5,912,1,275,912
395000,8,1973,3,895,1935
162000,6,1204,2,412,1204
221500,7,1614,3,865,1614
142500,5,894,2,440,864
144000,5,2020,2,630,0
135000,6,1004,2,504,975
176000,7,1253,2,402,1237
175900,6,1603,2,484,761
187100,7,1430,2,605,1413
165500,5,1110,2,602,1097
128000,6,1484,0,0,742
161500,6,1342,2,457,1372
139000,5,1652,1,416,686
233000,7,2084,2,618,956
107900,4,901,1,281,901
187500,6,2087,2,444,832
160200,7,1145,2,397,1145
146800,6,1062,2,539,1029
269790,7,2013,2,455,1117
225000,8,1496,2,474,1496
194500,7,1895,2,409,712
171000,6,1564,2,476,650
143500,6,1285,2,528,660
110000,5,773,1,240,773
485000,9,3140,3,820,1926
175000,5,1768,1,240,731
200000,6,1688,2,603,616
109900,4,1196,2,440,1196
189000,7,1456,2,410,728
582933,9,2822,3,1020,1734
118000,5,1128,1,286,936
227680,7,1428,2,554,1417
135500,5,980,1,384,980
223500,5,1576,2,528,1324
159950,5,1086,2,484,1024
106000,5,2138,2,360,849
181000,6,1309,2,484,1040
144500,6,848,2,420,848
55993,5,1044,2,504,540
157900,6,1442,1,301,1442
116000,5,1250,1,280,686
224900,7,1661,2,598,1649
137000,5,1008,1,275,1008
271000,8,1689,3,857,1568
155000,6,1052,2,440,1010
224000,7,1358,2,484,1358
183000,7,1640,2,595,798
93000,4,936,2,576,936
225000,7,1733,2,433,847
139500,6,1489,1,240,778
232600,8,1489,2,776,1489
385000,10,2084,3,1220,2078
109500,5,784,0,0,784
189000,7,1434,2,527,1454
185000,5,2126,2,538,1013
147400,7,1223,2,480,600
166000,6,1392,2,458,1392
151000,7,1200,2,480,600
237000,7,1829,2,613,941
167000,6,1516,2,472,1516
139950,5,1144,2,456,1144
128000,4,1067,2,436,1067
153500,5,1559,2,812,1559
100000,6,987,1,264,483
144000,5,1099,1,352,1099
130500,5,1200,1,240,768
140000,6,1482,1,400,672
157500,5,1539,2,686,650
174900,6,1165,2,490,1127
141000,5,1800,0,0,1800
153900,5,1416,3,720,876
171000,5,1701,2,611,1390
213000,7,1775,2,425,740
133500,5,864,1,338,864
240000,6,2358,2,360,907
187000,6,1855,2,512,528
131500,6,848,2,420,848
215000,8,1456,2,400,1273
164000,7,1646,1,240,918
158000,6,1445,2,645,1127
170000,5,1779,2,454,1763
127000,5,1040,1,260,1040
147000,6,1026,2,576,940
174000,6,1481,2,343,702
152000,7,1370,2,479,1090
250000,6,2654,2,619,1054
189950,7,1426,1,216,912
131500,5,1039,2,504,1039
152000,6,1097,2,480,1040
132500,5,1148,1,672,1148
250580,7,1372,2,529,1372
148500,5,1002,2,902,1002
248900,8,1646,3,870,1638
129000,4,1120,2,544,1040
169000,5,2320,2,672,0
236000,7,1949,2,574,1050
109500,5,894,1,308,894
200500,6,1682,2,523,804
116000,5,910,2,414,105
133000,5,1268,1,288,832
66500,5,1131,1,200,676
303477,8,2610,2,550,1184
132250,4,1040,2,648,1064
350000,9,2224,3,738,1462
148000,5,1155,2,576,1109
136500,5,864,1,336,864
157000,5,1090,2,450,1090
187500,7,1717,2,400,1156
178000,6,1593,2,389,808
118500,4,2230,1,440,795
100000,5,892,1,288,892
328900,9,1709,2,506,1698
145000,5,1712,2,588,1626
135500,5,1393,1,300,816
268000,8,2217,2,621,2217
149500,6,1505,2,505,1505
122900,5,924,2,576,672
172500,6,1683,2,440,918
154500,6,1068,1,264,1059
165000,5,1383,1,354,1383
118858,5,1535,2,400,0
140000,6,1796,2,483,780
106500,4,951,1,327,951
142953,5,2240,2,528,0
611657,9,2364,3,820,2330
135000,5,1236,1,288,912
110000,4,858,1,684,858
153000,5,1306,1,756,992
180000,7,1509,2,393,783
240000,7,1670,3,690,1670
125500,5,902,1,288,876
128000,5,1063,1,280,1056
255000,8,1636,3,865,1623
250000,7,2057,1,180,1017
131000,5,902,2,484,864
174000,6,1484,2,390,742
154300,5,2274,2,480,1105
143500,5,1268,1,252,1268
88000,5,1015,1,450,768
145000,5,2002,3,871,1001
173733,6,1224,2,528,612
75000,4,1092,1,286,546
35311,2,480,1,308,480
135000,4,1229,1,284,1134
238000,7,2127,3,833,1104
176500,6,1414,2,601,1184
201000,6,1721,2,471,928
145900,5,2200,0,0,1272
169990,6,1316,2,397,1316
193000,6,1617,2,533,1604
207500,6,1686,2,612,1686
175000,5,1126,2,540,1126
285000,8,2374,3,656,1181
176000,7,1978,2,486,832
236500,8,1788,2,522,1753
222000,7,2236,2,642,964
201000,8,1466,3,610,1466
117500,5,925,1,429,925
320000,9,1905,3,788,1905
190000,7,1500,2,570,1500
242000,7,2069,2,505,585
79900,4,747,2,528,600
184900,7,1200,2,555,1176
253000,7,1971,2,689,1113
239799,7,1962,3,868,1391
244400,7,2403,1,349,1032
150900,6,1728,2,574,1728
214000,7,2060,2,390,992
150000,4,1440,0,0,1440
143000,5,1632,2,576,1632
137500,6,1344,2,525,819
124900,5,1869,2,456,1088
143000,5,1144,1,796,1144
270000,8,1629,3,808,1616
192500,7,1776,2,474,936
197500,6,1381,2,676,1161
129000,5,864,2,720,864
119900,5,965,1,300,828
133900,5,768,1,396,768
172000,5,1968,2,530,784
127500,6,980,0,0,945
145000,6,1958,2,492,979
124000,6,1229,2,462,561
132000,5,1057,2,576,1057
185000,7,1337,2,531,1337
155000,7,1416,2,484,696
116500,5,858,0,0,858
272000,6,2872,2,619,1330
155000,6,1548,2,440,804
239000,9,1800,2,702,1800
214900,7,1894,2,510,817
178900,6,1484,2,393,783
160000,5,1308,1,256,728
135000,5,1098,1,260,1098
37900,3,968,0,0,600
